고객번호,구분,부도여부,성별,연령대,신용한도사용률_원래,신용한도사용률_전처리,나이_원래,나이_전처리,30-59일연체_원래,30-59일연체_전처리,부채비율_원래,부채비율_전처리,월소득_원래,월소득_전처리,개설신용거래수_원래,개설신용거래수_전처리,90일이상연체_원래,90일이상연체_전처리,부동산대출수_원래,부동산대출수_전처리,60-89일연체_원래,60-89일연체_전처리,부양가족수_원래,부양가족수_전처리,신용이력개월_원래,신용이력개월_전처리,통신비납부율_원래,통신비납부율_전처리,공과금납부율_원래,공과금납부율_전처리,소비일관성_원래,소비일관성_전처리,정기결제건수_원래,정기결제건수_전처리,앱로그인빈도_원래,앱로그인빈도_전처리,월소득_빈칸표시,부양가족수_빈칸표시,30-59일연체_빈칸표시,90일이상연체_빈칸표시,60-89일연체_빈칸표시
64084,씬파일러,부도,female,35-54,1.057,2.091,37,-1.035,기록 없음,-0.297,1.753,-0.347,4360.0,-0.457,10,0.298,기록 없음,-0.15,4,2.642,1.0,3.426,0.0,-0.667,0,-0.978,0.803,-0.194,0.878,0.765,29.126,-0.816,10,0.148,17,0.136,0,0,1,1,0
84258,씬파일러,부도,male,35-54,1.0,1.93,42,-0.696,기록 없음,-0.297,0.0,-0.349,기록 없음,-0.195,0,-1.644,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,8,-0.931,0.797,-0.25,0.809,0.281,44.312,0.492,8,-0.43,17,0.136,1,0,1,1,1
13247,씬파일러,부도,male,20-34,1.164,2.201,26,-1.78,기록 없음,-0.297,0.159,-0.349,1500.0,-1.189,3,-1.061,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,10,-0.919,0.383,-3.898,0.395,-2.633,4.078,-2.975,0,-2.744,0,-3.014,0,0,1,1,1
97351,씬파일러,부도,female,35-54,0.804,1.374,48,-0.29,기록 없음,-0.297,522.0,0.227,기록 없음,-0.195,3,-1.061,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,5,-0.949,0.844,0.164,0.838,0.484,37.451,-0.099,11,0.437,23,1.248,1,0,1,1,1
148176,씬파일러,부도,male,35-54,0.408,0.248,49,-0.222,0.0,-0.297,0.832,-0.348,3000.0,-0.805,11,0.492,기록 없음,-0.15,1,-0.017,기록 없음,-0.163,0.0,-0.667,10,-0.919,0.957,1.163,0.793,0.169,52.446,1.193,12,0.726,19,0.507,0,0,0,1,1
37087,씬파일러,부도,male,20-34,0.436,0.329,34,-1.238,기록 없음,-0.297,0.592,-0.349,9333.0,0.816,9,0.104,기록 없음,-0.15,2,0.869,기록 없음,-0.163,2.0,1.141,2,-0.967,0.464,-3.185,0.256,-3.608,8.73,-2.574,0,-2.744,1,-2.829,0,0,1,1,1
80687,씬파일러,부도,male,20-34,0.561,0.684,26,-1.78,기록 없음,-0.297,0.159,-0.349,1547.0,-1.177,5,-0.673,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,1.0,0.237,11,-0.913,0.612,-1.88,0.435,-2.349,11.276,-2.355,1,-2.454,2,-2.644,0,0,1,1,1
36993,씬파일러,부도,female,20-34,0.679,1.018,29,-1.577,1.0,1.317,0.386,-0.349,2250.0,-0.997,4,-0.867,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,4.0,2.949,9,-0.925,0.57,-2.247,0.322,-3.142,4.594,-2.93,0,-2.744,0,-3.014,0,0,0,1,1
55793,씬파일러,부도,male,35-54,0.01,-0.881,41,-0.764,기록 없음,-0.297,0.636,-0.348,3419.0,-0.698,8,-0.091,기록 없음,-0.15,1,-0.017,기록 없음,-0.163,2.0,1.141,6,-0.943,0.845,0.176,0.716,-0.372,30.158,-0.727,9,-0.141,13,-0.605,0,0,1,1,1
68813,씬파일러,부도,male,20-34,1.11,2.201,23,-1.983,2.0,2.93,0.08,-0.349,2083.0,-1.04,2,-1.256,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,2.0,1.141,8,-0.931,0.802,-0.205,0.778,0.06,37.234,-0.118,11,0.437,23,1.248,0,0,0,1,1
34060,씬파일러,부도,female,20-34,0.917,1.695,25,-1.848,기록 없음,-0.297,0.044,-0.349,2600.0,-0.907,3,-1.061,0.0,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,8,-0.931,0.726,-0.878,0.759,-0.071,33.358,-0.452,7,-0.719,18,0.321,0,0,1,0,1
6186,씬파일러,부도,male,35-54,0.999,1.927,42,-0.696,1.0,1.317,1.109,-0.348,2760.0,-0.866,7,-0.285,기록 없음,-0.15,3,1.755,기록 없음,-0.163,3.0,2.045,8,-0.931,0.588,-2.091,0.432,-2.373,8.974,-2.553,1,-2.454,2,-2.644,0,0,0,1,1
133735,씬파일러,부도,female,20-34,0.44,0.34,30,-1.509,기록 없음,-0.297,0.126,-0.349,4000.0,-0.549,5,-0.673,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,7,-0.937,0.489,-2.964,0.441,-2.307,16.752,-1.883,0,-2.744,0,-3.014,0,0,1,1,1
42310,씬파일러,부도,female,20-34,1.148,2.201,30,-1.509,기록 없음,-0.297,0.347,-0.349,4300.0,-0.472,11,0.492,0.0,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,1,-0.972,0.78,-0.399,0.701,-0.481,57.865,1.66,13,1.015,16,-0.049,0,0,1,0,1
80763,씬파일러,부도,male,20-34,1.246,2.201,33,-1.306,2.0,2.93,0.165,-0.349,4000.0,-0.549,5,-0.673,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,3,-0.961,0.7,-1.102,0.698,-0.499,39.678,0.093,9,-0.141,15,-0.235,0,0,0,1,1
38617,씬파일러,부도,male,35-54,1.0,1.93,38,-0.967,기록 없음,-0.297,0.165,-0.349,3100.0,-0.779,1,-1.45,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,4.0,2.949,1,-0.972,0.377,-3.955,0.239,-3.73,8.747,-2.572,3,-1.876,3,-2.458,0,0,1,1,1
